question_id,kb_id,lang,question,engine,run,expected_url,cited,mentioned,answer_accurate,attribution_accurate,competing_sources,freshness_ok,date,notes
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,ChatGPT Search,1,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,ChatGPT Search,2,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,ChatGPT Search,3,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Perplexity,1,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Perplexity,2,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Perplexity,3,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Google AI Overviews,1,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Google AI Overviews,2,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Google AI Overviews,3,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Claude (web search),1,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Claude (web search),2,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,fr,Combien coûte un accompagnement externe pour une (ré)évaluation EcoVadis ?,Claude (web search),3,https://sos-ecovadis.com/fr/tarifs/combien-coute-un-accompagnement-ecovadis/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,ChatGPT Search,1,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,ChatGPT Search,2,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,ChatGPT Search,3,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Perplexity,1,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Perplexity,2,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Perplexity,3,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Google AI Overviews,1,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Google AI Overviews,2,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Google AI Overviews,3,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Claude (web search),1,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Claude (web search),2,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,en,How much does it cost to get external help for an EcoVadis (re)assessment?,Claude (web search),3,https://sos-ecovadis.com/en/pricing/how-much-does-ecovadis-support-cost/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,ChatGPT Search,1,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,ChatGPT Search,2,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,ChatGPT Search,3,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Perplexity,1,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Perplexity,2,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Perplexity,3,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Google AI Overviews,1,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Google AI Overviews,2,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Google AI Overviews,3,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Claude (web search),1,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Claude (web search),2,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q01,kb-0001,nl,Wat kost externe begeleiding bij een EcoVadis-(her)beoordeling?,Claude (web search),3,https://sos-ecovadis.com/nl/tarieven/wat-kost-ecovadis-begeleiding/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",ChatGPT Search,1,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",ChatGPT Search,2,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",ChatGPT Search,3,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Perplexity,1,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Perplexity,2,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Perplexity,3,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Google AI Overviews,1,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Google AI Overviews,2,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Google AI Overviews,3,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Claude (web search),1,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Claude (web search),2,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,fr,"Au-delà de la demande d'un grand compte, pourquoi se lancer dans EcoVadis ?",Claude (web search),3,https://sos-ecovadis.com/fr/savoir/pourquoi-se-lancer-dans-ecovadis/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",ChatGPT Search,1,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",ChatGPT Search,2,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",ChatGPT Search,3,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Perplexity,1,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Perplexity,2,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Perplexity,3,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Google AI Overviews,1,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Google AI Overviews,2,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Google AI Overviews,3,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Claude (web search),1,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Claude (web search),2,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,en,"Beyond a key account's request, why embark on EcoVadis at all?",Claude (web search),3,https://sos-ecovadis.com/en/knowledge/why-ecovadis-strengthens-sustainability-management/,,,,,,,,
Q02,kb-0021,nl,"Waarom aan EcoVadis beginnen, los van de vraag van een grote klant?",ChatGPT Search,1,https://sos-ecovadis.com/nl/kennis/waarom-aan-ecovadis-beginnen/,,,,,,,,
Q02,kb-0021,nl,"Waarom aan EcoVadis beginnen, los van de vraag van een grote klant?",ChatGPT Search,2,https://sos-ecovadis.com/nl/kennis/waarom-aan-ecovadis-beginnen/,,,,,,,,
